"ensembl_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
"ENSG00000267882",3.45990048044994,2.39771854916291,1.14205060675049,0.00489841404564589,0.014994865757433,"LOC100131496"
"ENSG00000274372",1.33063834127612,3.87576887501587,2.76533078501298,0.00491614836354654,0.0150447292048619,NA
"ENSG00000187536",2.95999042025804,2.59689794852494,1.35257603390534,0.0049248176050794,0.0150668299368329,NA
"ENSG00000234724",1.30805709292466,-3.99350772549796,2.78276726072124,0.00493425321874144,0.0150868288678188,NA
"ENSG00000257612",1.3455595797424,2.77377785182619,1.74864431202268,0.00493574231617024,0.0150869504155555,"MIR4307HG"
"ENSG00000188596",7.90744571099101,-1.63042591565906,0.744448868940664,0.00496159025186939,0.0151570575867453,"CFAP54"
"ENSG00000289956",3.43310281007162,-2.24711605580075,1.09427382969377,0.00500880114053811,0.0152923054619245,NA
"ENSG00000272459",2.1722140971897,-2.46965272425115,1.61375851503355,0.00501925994654942,0.0153210322779712,"FAM193B-DT"
"ENSG00000198203",17.2558098626837,1.36576480975896,0.585005623642372,0.00503804662218266,0.015372576964271,"SULT1C2"
"ENSG00000230606",11.73975509409,1.53932924074213,0.685446573228293,0.00503991405964569,0.0153760215134472,NA
"ENSG00000108370",4.2549318460952,-1.96513182162093,0.914932082952648,0.00507806476033779,0.0154856057192724,"RGS9"
"ENSG00000286039",18.0982666579552,-1.05695219430146,0.420512289089407,0.00509688069349436,0.0155361580026148,NA
"ENSG00000306076",3.74560254967098,1.88844764182129,0.917671087252368,0.0051082477122607,0.0155662484077218,NA
"ENSG00000269982",4.71508167383046,-2.29249402587091,1.11236343848405,0.00511361542093872,0.0155757658300692,NA
"ENSG00000257433",4.76263025218724,1.5358607688059,0.683274778896271,0.00511356446866291,0.0155757658300692,NA
"ENSG00000236255",12.1151724750034,1.21531897639324,0.501439160342685,0.00512991472544545,0.0156208416950488,NA
"ENSG00000162836",23.8819995463884,-1.00717404235979,0.396230187550836,0.00514993949183146,0.0156726487765589,"ACP6"
"ENSG00000054690",12.3009029375161,1.14437444485825,0.466941700776805,0.00515603727040547,0.0156866198936974,"PLEKHH1"
"ENSG00000296451",2.24275432934199,2.46011125816244,1.21206551823122,0.00518018580561056,0.015753182630296,NA
"ENSG00000288658",1.51693920240231,4.54209157645917,3.16483200683084,0.00520344693106562,0.0158192993075139,"RNF228"
"ENSG00000179044",1.71978204446444,4.66736906672547,3.28240402949706,0.00521270088887669,0.015845118967079,"EXOC3L1"
"ENSG00000198846",2.42062979264314,-2.63532466730694,1.63449006355078,0.00521938079629607,0.0158631078537354,"TOX"
"ENSG00000234699",2.25060013664902,-3.82526538214163,2.67814966276126,0.00524720130917854,0.0159383548374362,NA
"ENSG00000144488",10.5039336554184,-1.73422547293894,0.813668795114167,0.0052560800434555,0.015960666631374,"ESPNL"
"ENSG00000289854",4.97788888318647,1.55969802118986,0.703046129731636,0.00528310643165459,0.0160310439878468,NA
"ENSG00000241679",2.82503175496749,2.4884164207622,1.25277451935365,0.00530426544704927,0.0160858706980508,NA
"ENSG00000307998",1.35520650485441,4.1311298551691,2.87844440611497,0.00530351982161038,0.0160858706980508,NA
"ENSG00000235100",3.88501698650753,-2.00658319015025,0.961385534747951,0.0053038199642283,0.0160858706980508,NA
"ENSG00000120658",19.1701975008814,1.08294141450397,0.440882702920104,0.00530761658937835,0.0160936891602487,"ENOX1"
"ENSG00000203650",4.90117727872596,-1.87162612765655,0.883324858577026,0.00531723711866898,0.0161205125343774,"LINC01285"
"ENSG00000273145",2.54247216149653,-2.46323811598776,1.24778602425632,0.00532647003543412,0.0161414526444983,"LOC124905134"
"ENSG00000233901",7.31860695921273,-1.49243043654362,0.658669224830001,0.00533188744274337,0.0161523922741531,"LINC01503"
"ENSG00000254837",5.40743764013574,-1.96129870949852,0.918022871083116,0.00533908390828432,0.0161702630035745,"LIPT2-AS1"
"ENSG00000167700",13.9637801786594,-1.0071739129732,0.399109876576047,0.00535785206148033,0.0162247450280668,"MFSD3"
"ENSG00000131351",22.6074714464512,-1.09905631801787,0.449524052969495,0.00535918662496823,0.0162264261700427,"HAUS8"
"ENSG00000289579",7.69591496462977,-1.37787434388461,0.606041699909832,0.00536146196461005,0.0162309548700329,NA
"ENSG00000244018",4.026447065555,1.52540871867127,0.683260247732043,0.00536838778607757,0.0162471965864732,"RPL35P6"
"ENSG00000142065",14.5516837152883,-1.11483040663248,0.448608225210572,0.0053724494882624,0.0162571258569963,"ZFP14"
"ENSG00000023892",14.803997835411,-1.04727376860976,0.417273288420973,0.00537500824055376,0.0162601419006232,"DEF6"
"ENSG00000001630",24.1463558298468,1.02561688853213,0.411741297982871,0.0053855025288816,0.0162824247965126,"CYP51A1"
"ENSG00000260528",2.06208418126827,2.88913131865928,1.99259716585357,0.0054018210515513,0.0163270198130439,"LINC02193"
"ENSG00000228519",2.5271910061606,-2.44065163316114,1.26166410703127,0.00541270942907968,0.0163575551754986,NA
"ENSG00000255750",2.48224563928944,2.61307767671209,1.39081561922635,0.00543327881446555,0.016414951623619,"SSPN-AS1"
"ENSG00000250011",1.69662302137745,4.05877010058354,2.91020842734425,0.00547208443828882,0.0165202038748165,NA
"ENSG00000125144",33.8842587655296,-1.7806726543496,0.875597008558165,0.00547846343067968,0.0165370639645237,"MT1G"
"ENSG00000293210",5.9619185434636,-1.3475543045074,0.570701298664628,0.00548093181313662,0.0165421164711063,"SSR4P1"
"ENSG00000256582",2.14663602637114,2.55758302269197,1.37722248334886,0.00549971020530934,0.0165939806904833,NA
"ENSG00000173320",18.4362875760647,-1.01287845636757,0.402300403345737,0.00553687087922252,0.0167012626535111,"STOX2"
"ENSG00000150594",22.1442335738622,-1.12143694495264,0.462062820079567,0.00556877202565738,0.0167885231855665,"ADRA2A"
"ENSG00000163121",2.4697140087836,4.48125595767024,3.3837012040566,0.00558547819132257,0.0168308106043052,"NEURL3"
"ENSG00000291133",2.59680382173135,-2.34715764199338,1.16670389035519,0.00560194825557148,0.0168731135319361,"DPY19L2P1"
"ENSG00000055955",3.54089656631356,1.84986390992875,0.895341944932139,0.00560312629619862,0.0168742205063734,"ITIH4"
"ENSG00000219665",10.1832123251924,1.30822936983047,0.565322000811664,0.00560663859247385,0.0168823559237363,"ZNF433-AS1"
"ENSG00000257038",10.9320393620273,-1.3081591112897,0.561698048828302,0.0056451640322598,0.0169959031073922,"ARHGEF17-AS1"
"ENSG00000166816",13.3646356892924,-1.34972018736746,0.578029735769813,0.00564721969533575,0.0169971760643624,"LDHD"
"ENSG00000175564",4.57534821671627,2.08529953208906,1.02741003183256,0.00568749404809785,0.0171035589466054,"UCP3"
"ENSG00000304457",4.47860485282428,2.0873113427326,1.07339769238768,0.0056967166948494,0.0171288193053249,NA
"ENSG00000103942",13.726353442664,-1.00223144784994,0.398448997740839,0.00571120147002952,0.0171674131395531,"HOMER2"
"ENSG00000267414",5.30112774519069,-1.68293673418586,0.765531661229295,0.00571096312329624,0.0171674131395531,"SETBP1-DT"
"ENSG00000120149",17.6996403992398,1.08363783201381,0.449144827092125,0.00574087835876241,0.0172441706176706,"MSX2"
"ENSG00000241764",11.061031659795,1.28830320818102,0.558111087539122,0.00574038256019258,0.0172441706176706,"CBLL1-AS1"
"ENSG00000274717",6.49350299135829,1.60046414858436,0.731317224430597,0.00574747928799836,0.0172590179282905,NA
"ENSG00000106789",9.24790493885498,-1.45149355585691,0.640878013447264,0.00580074034493482,0.0174089106589589,"CORO2A"
"ENSG00000269720",1.30634380705954,4.54101047287404,3.24335225602508,0.00582244022577558,0.0174639652874833,"CCDC194"
"ENSG00000297291",1.66819147427351,4.41380718376882,3.23679268296896,0.0058362789189882,0.0175004307668753,NA
"ENSG00000236824",4.70673886320802,-1.51958732401649,0.669216873700781,0.0058421456727174,0.0175154998214723,"BCYRN1"
"ENSG00000293141",18.1614940855474,-1.05139624214082,0.42467282346987,0.00584481533469666,0.017520980626789,NA
"ENSG00000258694",1.16321744066584,4.21390478937375,3.02249936336416,0.00590428121849093,0.0176839635574396,NA
"ENSG00000109625",3.50688023574087,-2.29676141888073,1.16261291918929,0.00592627534228624,0.0177421809535601,"CPZ"
"ENSG00000176401",9.48300868136434,-1.22504593010239,0.519660502810765,0.00593588347703465,0.0177683908135707,"EID2B"
"ENSG00000188050",3.00152206149513,2.15318849499503,1.10704135014075,0.00597940452484898,0.0178729680980375,"RNF133"
"ENSG00000234572",2.89291696658383,2.09556246311909,1.04759213258696,0.00602133749231779,0.0179879789428274,"LINC01800"
"ENSG00000156711",25.6248128913582,1.0385802064643,0.425384900073192,0.00602287739184006,0.0179899977648089,"MAPK13"
"ENSG00000164483",2.72476757432856,-2.32268257318289,1.18558501936721,0.00603311131355373,0.0180179808401772,"SAMD3"
"ENSG00000267272",9.34765861985598,-1.3082904308306,0.564649033802946,0.00604656555144343,0.0180503940658877,"LINC01140"
"ENSG00000171811",8.71440720202324,1.32846283823805,0.583433138721943,0.0060620285493069,0.0180913664518378,"CFAP46"
"ENSG00000297045",3.73890149773078,1.85669506902298,0.917623144412758,0.00607659114244808,0.0181322274608896,"LOC105375218"
"ENSG00000206432",2.21448096258559,3.33861772723814,2.41872001837307,0.00608992041012408,0.0181641909768443,"TMEM200C"
"ENSG00000302769",3.10875455694242,-2.28547627761492,1.16694643145879,0.00611973797960296,0.0182400608442883,NA
"ENSG00000136383",147.81732258439,1.19034183037087,0.507958045433172,0.00612796152975521,0.0182593432214074,"ALPK3"
"ENSG00000180340",8.12814965276607,-1.67692638098259,0.831190355499652,0.00613591795426515,0.0182778188424447,"FZD2"
"ENSG00000253006",1.841654602305,2.58114908701695,1.48234858693184,0.00616959581119325,0.0183728815896485,"RN7SKP283"
"ENSG00000150637",6.40449441888771,1.55722183586155,0.724265306245847,0.00617412086935196,0.0183817926919098,"CD226"
"ENSG00000261559",6.85582114859645,-1.54422403338687,0.705682852067928,0.00619472968682733,0.0184398166071001,NA
"ENSG00000213967",4.69966555052219,-1.76995119445399,0.859766553675639,0.00621584942348022,0.0184973941034069,"ZNF726"
"ENSG00000074370",24.3242778788427,-1.2178725334392,0.527730849409276,0.00621907757705616,0.0185043555919297,"ATP2A3"
"ENSG00000142583",26.3664675387052,1.27122078829368,0.556984085183652,0.00623509629476563,0.0185493669277973,"SLC2A5"
"ENSG00000074660",10.7821528772304,1.46081106946096,0.671886865814107,0.00630386797680356,0.0187298740415404,"SCARF1"
"ENSG00000287937",1.14184842605622,3.81924450398232,2.77885454787333,0.00631563589642676,0.0187534098862306,"LOC124907871"
"ENSG00000138658",22.1153515722877,-1.09311369741037,0.454197957447694,0.00631508601052675,0.0187534098862306,"ZGRF1"
"ENSG00000234494",13.3109054145021,-1.04844702713049,0.431070051631969,0.00632781473211722,0.0187795830232286,"SP2-AS1"
"ENSG00000206601",2.3190093908109,2.21425584833145,1.15686524963135,0.00633031490767385,0.0187843252655162,"RNU6-431P"
"ENSG00000182359",2.72837688664357,-2.35125065669087,1.44287117099674,0.00636549723746099,0.0188725843045714,"KBTBD3"
"ENSG00000275632",1.61241122871713,-4.07882062902303,3.04642937061005,0.00636482547944222,0.0188725843045714,NA
"ENSG00000106006",7.4148825635085,-1.47083486866269,0.660749471025996,0.00641356477136949,0.0190069757971732,"HOXA6"
"ENSG00000171798",12.8596122778024,-1.11624255112359,0.461729248903408,0.00641466162967361,0.0190075207042663,"KNDC1"
"ENSG00000160284",13.6744648186686,-1.18861110819885,0.507122984143933,0.00643533737298523,0.0190606471430046,"SPATC1L"
"ENSG00000247400",9.42011051151453,1.34068206611442,0.593510447458378,0.00643729043419821,0.0190637197083318,"DNAJC3-DT"
"ENSG00000286861",2.07338366961584,2.632855413369,1.79158849039074,0.00645209135437256,0.0191048342919474,NA
"ENSG00000144057",10.5667727068758,-1.6612304531695,0.803978591833394,0.00645706742252231,0.0191141314758271,"ST6GAL2"
"ENSG00000182870",17.9365061889949,1.27439332570591,0.558805555531594,0.00650047433102424,0.0192289535518036,"GALNT9"
"ENSG00000257403",1.89135092063943,3.91232219200804,2.96509747410989,0.00650576714463507,0.0192389118541955,NA
"ENSG00000299114",3.26998939551406,1.80615357313921,0.898877514172088,0.00653301105400901,0.0192923059763707,NA
"ENSG00000215895",3.85242104517431,1.69101632072709,0.808431946074182,0.00654687897102434,0.0193195568104544,"HSPA5P1"
"ENSG00000291081",12.3435314345362,-1.32529936239324,0.581111049976417,0.00655264288474816,0.0193338254276604,"FAM86HP"
"ENSG00000141524",15.2748348264631,-1.10748303609377,0.463651138387732,0.00657528542535389,0.0193923880536114,"TMC6"
"ENSG00000286623",5.93330790652068,-1.92630217672728,0.941164999864624,0.00658475738438287,0.0194148228275693,NA
"ENSG00000168280",11.4542673282214,1.47556610397959,0.691075025897013,0.00661327357656761,0.0194858811069057,"KIF5C"
"ENSG00000300040",1.87301737832922,2.78150681285841,2.0964005747912,0.00662098001741879,0.019505049240504,NA
"ENSG00000180881",5.24067149679422,-1.67488471223511,0.790139682233321,0.00662354899916981,0.0195098566233328,"CAPS2"
"ENSG00000260475",4.67430327893647,1.96246107173196,1.06008968952881,0.00662757999623876,0.0195189684455644,NA
"ENSG00000288886",4.94354077945699,-1.94840952858008,0.977181216380768,0.00666835237781944,0.0196307166507103,NA
"ENSG00000120278",19.408159242452,-1.19273301762801,0.512956261741309,0.00667791893361498,0.0196520607926515,"PLEKHG1"
"ENSG00000261713",18.3491550257145,-1.3208460249556,0.588217902648907,0.00668535217761236,0.0196696363744646,"SSTR5-AS1"
"ENSG00000131379",3.26684045683684,2.08093599059308,1.04791146163829,0.00669047439576398,0.0196791447365654,"C3orf20"
"ENSG00000173432",13.8353667702712,1.6038134695878,0.783340606449287,0.00669802011037759,0.0196957741070552,"SAA1"
"ENSG00000172345",10.6944765841644,1.03399583764032,0.431763445594178,0.00675007077183918,0.0198404240292136,"STARD5"
"ENSG00000260420",2.47164506317206,2.41697754406075,1.30359025964875,0.00676081283240633,0.0198691928794279,NA
"ENSG00000268403",13.1652324600761,1.24431673941473,0.543614535355896,0.00677350539112911,0.0199036850723948,"ZNF143-AS1"
"ENSG00000254602",4.54173487068881,-1.89464432013085,0.969139941818396,0.00683465506915566,0.0200578917232523,"MIR130AHG"
