Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR1039519_pass_1	(1.0, 37.56107009214697)	(2.0, 12.699839949379859)	(3.0, 6.704932580385348)	(4.0, 4.381101310295178)	(5.0, 3.168819573682794)	(6.0, 2.383707507404205)	(7.0, 1.9176790513042048)	(8.0, 1.6112222164036856)	(9.0, 1.320779180504286)	('>10', 16.368055637618774)	('>50', 4.840574658738898)	('>100', 5.923321633856257)	('>500', 0.79659833865385)	('>1k', 0.25531812910901713)	('>5k', 0.06698014051653281)	('>10k+', 0.0)
SRR1039519_pass_2	(1.0, 38.76668564749889)	(2.0, 12.388939677537184)	(3.0, 6.623822597192924)	(4.0, 4.165925618199756)	(5.0, 3.0208318840253763)	(6.0, 2.42740952458819)	(7.0, 1.8301882634938502)	(8.0, 1.5784013072869234)	(9.0, 1.3876459643858035)	('>10', 16.072419824433794)	('>50', 4.875897933626753)	('>100', 5.8230105575832445)	('>500', 0.7600966657335956)	('>1k', 0.25437678827518095)	('>5k', 0.024347746138572234)	('>10k+', 0.0)
SRR1039520_pass_1	(1.0, 38.00317744952632)	(2.0, 12.434272062347526)	(3.0, 6.637962156046548)	(4.0, 4.32506375390215)	(5.0, 3.026957665771969)	(6.0, 2.322546860034214)	(7.0, 1.825154658495508)	(8.0, 1.571180534862683)	(9.0, 1.3489355010654593)	('>10', 16.627216152663305)	('>50', 4.838544193611996)	('>100', 5.8909000735498225)	('>500', 0.8685322261942104)	('>1k', 0.2795567119282459)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039520_pass_2	(1.0, 38.84455977311349)	(2.0, 12.166246575819901)	(3.0, 6.594874964286128)	(4.0, 4.205022880996285)	(5.0, 2.9689659076916812)	(6.0, 2.3611749485356683)	(7.0, 1.902104566746991)	(8.0, 1.4940416076531817)	(9.0, 1.378252695557713)	('>10', 16.405359316299936)	('>50', 4.840419661019786)	('>100', 5.644623231946429)	('>500', 0.9055839593115977)	('>1k', 0.2887699110212225)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039521_pass_1	(1.0, 34.80232413603698)	(2.0, 13.003445845310788)	(3.0, 7.0361915368288965)	(4.0, 4.675214433259255)	(5.0, 3.3936714194325543)	(6.0, 2.5828757292873497)	(7.0, 2.093606855746298)	(8.0, 1.7830816137273795)	(9.0, 1.5501328879298624)	('>10', 17.834357834607438)	('>50', 4.958459054263084)	('>100', 5.344560214351961)	('>500', 0.709710825193466)	('>1k', 0.2323676140246303)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039521_pass_2	(1.0, 36.05849404398236)	(2.0, 12.809545457189811)	(3.0, 6.798790060450728)	(4.0, 4.488917393994079)	(5.0, 3.3077071452346765)	(6.0, 2.557278713252084)	(7.0, 2.0909645948760827)	(8.0, 1.7413106085749086)	(9.0, 1.51495557225931)	('>10', 17.534438778033177)	('>50', 4.887879879543889)	('>100', 5.2860699889550915)	('>500', 0.6936451597547999)	('>1k', 0.23000260389900665)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039522_pass_1	(1.0, 33.095729896607814)	(2.0, 12.992913224421368)	(3.0, 6.9460353082354445)	(4.0, 4.670039465922206)	(5.0, 3.321254739628998)	(6.0, 2.57380073615401)	(7.0, 2.00483303301856)	(8.0, 1.6887868662499101)	(9.0, 1.441243291197139)	('>10', 17.62362423438676)	('>50', 5.291388590103789)	('>100', 6.784773407594785)	('>500', 1.0669262882380788)	('>1k', 0.4782869145702597)	('>5k', 0.02036400367090469)	('>10k+', 0.0)
SRR1039522_pass_2	(1.0, 34.08998280977082)	(2.0, 12.837270888339988)	(3.0, 6.8842914955499115)	(4.0, 4.462581748812497)	(5.0, 3.1634548863568743)	(6.0, 2.4908282858469564)	(7.0, 1.995028495927691)	(8.0, 1.6654609847189468)	(9.0, 1.4140198314978834)	('>10', 17.297398995876375)	('>50', 5.381365764415441)	('>100', 6.714082729806352)	('>500', 1.0777853648290288)	('>1k', 0.5058031456005705)	('>5k', 0.020644572650550364)	('>10k+', 0.0)
SRR1039523_pass_1	(1.0, 31.72685821837713)	(2.0, 12.242915313366098)	(3.0, 6.797631099758153)	(4.0, 4.442073535211919)	(5.0, 3.4194396823355087)	(6.0, 2.6171953663690646)	(7.0, 2.180831721966226)	(8.0, 1.8258917228995204)	(9.0, 1.5692089987073043)	('>10', 18.684713786200128)	('>50', 5.543429466738821)	('>100', 7.007203659250803)	('>500', 1.23653673918725)	('>1k', 0.706070689632243)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039523_pass_2	(1.0, 32.31990946020782)	(2.0, 12.02577300874162)	(3.0, 6.761316298804125)	(4.0, 4.504003069941673)	(5.0, 3.298612638033055)	(6.0, 2.6712053468160257)	(7.0, 2.1551986181288485)	(8.0, 1.8138086987457138)	(9.0, 1.4905663806193)	('>10', 18.376211197561393)	('>50', 5.636336856938623)	('>100', 6.92081848547264)	('>500', 1.312725220441392)	('>1k', 0.6968696428053002)	('>5k', 0.01664507674257235)	('>10k+', 0.0)
