"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
"ENSG00000048649",362.107080769685,0.61025430473555,0.0960688285397032,1.60683882563822e-10,1.67180297406108e-09,"RSF1"
"ENSG00000136689",14.3803671085057,8.95003907649599,2.77123555675348,1.61386030364231e-10,1.67826961346299e-09,"IL1RN"
"ENSG00000116903",235.502502526515,0.920514011516313,0.14612775109822,1.62479035262475e-10,1.68879232907112e-09,"EXOC8"
"ENSG00000122952",69.3984716938231,-1.66584869593757,0.27061002005468,1.65129190665008e-10,1.71548134753234e-09,"ZWINT"
"ENSG00000117724",631.631074366293,-2.38302967071226,0.393430534776276,1.67273530139615e-10,1.73689158303074e-09,"CENPF"
"ENSG00000111859",84.686627832769,1.79544052757319,0.292097192475002,1.68060031259032e-10,1.74418833039969e-09,"NEDD9"
"ENSG00000136869",96.6540224291153,1.90004455311889,0.310751918137867,1.69059083048987e-10,1.75368263577322e-09,"TLR4"
"ENSG00000206527",153.457037465491,-1.04804391945847,0.167159742576516,1.71153180575084e-10,1.77452094939874e-09,"HACD2"
"ENSG00000153037",51.4076766820191,1.87374905629409,0.305015787351719,1.71512017199515e-10,1.77735623995854e-09,"SRP19"
"ENSG00000124466",20.1430967603021,4.41170825481692,0.7343636236738,1.73897409228003e-10,1.80117918543174e-09,"LYPD3"
"ENSG00000293154",10.8479567220004,5.1109259507288,0.821113956983731,1.77172221642972e-10,1.83418621699902e-09,NA
"ENSG00000198205",43.9998327588417,1.52956875214656,0.247848948369934,1.81274725077219e-10,1.87572490128361e-09,"ZXDA"
"ENSG00000175471",22.8991808319971,4.59665958696773,0.759097044985154,1.83742496177091e-10,1.90031546344305e-09,"MCTP1"
"ENSG00000180957",314.439128284598,0.881689929187054,0.140055544469435,1.85450312326018e-10,1.91702584524099e-09,"PITPNB"
"ENSG00000213672",71.727394926238,-1.15354983946102,0.184740918580707,1.86102604579845e-10,1.92281395769121e-09,"NCKIPSD"
"ENSG00000144596",29.2871785948598,6.3826412281996,1.05629827168362,1.86278804334938e-10,1.92367977552038e-09,"GRIP2"
"ENSG00000136238",980.470153866282,0.428005392456025,0.0673493750907037,1.88125319649989e-10,1.94178533951072e-09,"RAC1"
"ENSG00000159459",296.063769745196,0.82210083626766,0.130566997789839,1.88518498341242e-10,1.94487939393772e-09,"UBR1"
"ENSG00000112624",144.637968844342,-0.988737881088648,0.157494928759639,1.88893095783426e-10,1.94777878212737e-09,"BICRAL"
"ENSG00000160224",8.55225211149293,8.24454419608324,2.66013536003211,1.89550578841083e-10,1.95359084202599e-09,"AIRE"
"ENSG00000082258",137.618622172943,0.895265251198783,0.142715795318042,1.95826888265709e-10,2.01727856843335e-09,"CCNT2"
"ENSG00000127481",3455.19443213521,0.535254813493974,0.0843882386707206,1.95997196310784e-10,2.01803443619892e-09,"UBR4"
"ENSG00000160208",258.341923304816,-0.793866811292542,0.126478897717437,1.98500500384698e-10,2.04279877286655e-09,"RRP1B"
"ENSG00000174684",45.3995610539796,-1.5815254238879,0.258454877844937,2.06500280632062e-10,2.12407576209432e-09,"B4GAT1"
"ENSG00000253729",2083.39964111893,-0.62541567621278,0.0993788321558834,2.09374858123376e-10,2.15258033149164e-09,"PRKDC"
"ENSG00000197976",258.995626290875,1.25813863270755,0.203091886455112,2.09943278567218e-10,2.15735889264112e-09,"AKAP17A"
"ENSG00000143401",147.143308355427,-0.973309765460018,0.155882763517418,2.10482980940362e-10,2.15970684090557e-09,"ANP32E"
"ENSG00000115464",994.867653377874,0.514345858414166,0.081278764285701,2.10327307040392e-10,2.15970684090557e-09,"USP34"
"ENSG00000141574",12.9815666342363,3.53085756586633,0.589365123467124,2.10466891268131e-10,2.15970684090557e-09,"SECTM1"
"ENSG00000172318",30.0246800957753,2.60126917335628,0.430569468379048,2.11779954595109e-10,2.1719442732589e-09,"B3GALT1"
"ENSG00000143624",417.80952102745,-0.72945684312019,0.11585945631416,2.1202298232802e-10,2.17336606060417e-09,"INTS3"
"ENSG00000116221",196.368164361586,-0.802600923688212,0.128401845027093,2.12490362326075e-10,2.17708506558394e-09,"MRPL37"
"ENSG00000135363",15.8284501486688,3.28317371457452,0.547946737539438,2.1670171623321e-10,2.21914069368382e-09,"LMO2"
"ENSG00000204673",868.275576812768,0.807720284576735,0.128720299144894,2.20010678211553e-10,2.25191853966879e-09,"AKT1S1"
"ENSG00000186891",11.0165801207696,3.5908177389081,0.590042805417389,2.20468464076171e-10,2.25549530889523e-09,"TNFRSF18"
"ENSG00000130702",55.1452984426318,1.90646578536877,0.314812747222495,2.21431107285898e-10,2.26423095411842e-09,"LAMA5"
"ENSG00000248641",15.6692296131804,2.48590479248814,0.40888689335104,2.21602215785977e-10,2.26482295978178e-09,NA
"ENSG00000239672",60.5135814262368,-1.38759994504757,0.225420605707653,2.21706575341527e-10,2.26482295978178e-09,"NME1"
"ENSG00000175556",70.6525201297054,2.29807637524128,0.382256200581648,2.25365481224571e-10,2.30107109054162e-09,"LONRF3"
"ENSG00000147324",288.0070811784,1.17160892658014,0.189550558543431,2.26159299839613e-10,2.30804434478475e-09,"MFHAS1"
