"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
"ENSG00000249846",6.21076814781585,0.116810703674095,0.355952813478533,0.429786163859576,0.643279652314744,"LINC02021"
"ENSG00000196636",11.0968914883029,0.138257187799318,0.33388455158098,0.429793360063975,0.643279652314744,"SDHAF3"
"ENSG00000286724",5.52486990324045,-0.133896437876603,0.341650381894127,0.429691459312561,0.643279652314744,NA
"ENSG00000198342",9.08558168836921,0.138613867780011,0.336480515065605,0.429750257286351,0.643279652314744,"ZNF442"
"ENSG00000106524",60.6463983020133,0.127969760569407,0.186532247174989,0.429928325887821,0.643428203953729,"ANKMY2"
"ENSG00000198920",3.47984899742587,0.106001887655524,0.360765954405402,0.430087109340018,0.643612373276,"KIAA0753"
"ENSG00000119446",71.781731986731,0.125795860314892,0.182479571229238,0.430241361026452,0.643789730917987,"RBM18"
"ENSG00000157911",112.605172443605,0.109813499564386,0.152219021758798,0.430318984734245,0.643852406691484,"PEX10"
"ENSG00000126460",2.98292436172018,0.076049633540975,0.367495447558841,0.430362991353178,0.643864777629866,"PRRG2"
"ENSG00000158092",120.911747475738,0.110681190050369,0.154842191606235,0.430556837162615,0.644055034629455,"NCK1"
"ENSG00000172426",4.52563307510704,0.115121244074021,0.354692213817268,0.430597407421835,0.644055034629455,"RSPH9"
"ENSG00000273066",3.37228216797919,0.100808631633105,0.363230763682883,0.430590285451208,0.644055034629455,NA
"ENSG00000174796",46.9269292372075,0.14429405316736,0.231768934065903,0.430647969402872,0.644077188839627,"THAP6"
"ENSG00000137460",50.0631868363508,-0.1501798825339,0.298828115157504,0.431007856944918,0.644561928340636,"FHDC1"
"ENSG00000296073",1.8814694023472,-0.0609936381587493,0.368633135421892,0.431081957512715,0.644574640702222,NA
"ENSG00000069966",101.61079916194,-0.112993168935746,0.161153372962017,0.431089661492248,0.644574640702222,"GNB5"
"ENSG00000243927",29.5074989818934,0.151353418375988,0.270317726060598,0.431123691189042,0.644574640702222,"MRPS6"
"ENSG00000234964",3.09982098377557,-0.110019529039214,0.359572178952024,0.431216477169898,0.644659866624586,NA
"ENSG00000288906",3.61928806539705,-0.105412382310762,0.36020573559127,0.431257748020683,0.644668070721924,NA
"ENSG00000142655",120.071882627566,-0.108654568037967,0.151135570059365,0.431541434773047,0.644943614102785,"PEX14"
"ENSG00000196152",47.4913704879109,0.135325908289015,0.205593737346292,0.431549470915246,0.644943614102785,"ZNF79"
"ENSG00000173156",83.6507277092358,-0.146044886151158,0.240404259627784,0.431521830848352,0.644943614102785,"RHOD"
"ENSG00000231167",53.9111751585901,0.135482507602884,0.204905488614528,0.431639033829556,0.644970459772189,NA
"ENSG00000304945",4.33402282899159,0.124561235884793,0.349565064393167,0.43163056041297,0.644970459772189,NA
"ENSG00000261096",2.24789429999534,0.0868015926428962,0.366214245051873,0.431681880686167,0.644980988757837,NA
"ENSG00000232855",4.94758192206936,-0.0994093932198136,0.361232719390873,0.431747391312831,0.645025375395303,NA
"ENSG00000265254",2.19771165413883,0.0852200780596057,0.366991876088316,0.4318310571551,0.645073701047554,NA
"ENSG00000267405",2.94316152710594,0.0820696805201355,0.366838053654545,0.431851349263685,0.645073701047554,NA
"ENSG00000291137",16.9411929591634,0.145417883499698,0.321571833459321,0.432001684464185,0.645121109575833,"GBA1LP"
"ENSG00000175449",2.80354946439199,-0.0958806004754982,0.363751517123694,0.431925031894372,0.645121109575833,"RFESD"
"ENSG00000179300",18.1342587133717,0.134271400042291,0.341358727707678,0.432026320328176,0.645121109575833,"RTL3"
"ENSG00000276261",4.93069757102516,0.138118894137076,0.3365203528563,0.432009776360851,0.645121109575833,NA
"ENSG00000299307",15.2251926689644,-0.150736888142381,0.301566786000599,0.432079516592867,0.645147072015339,NA
"ENSG00000142733",193.437307789374,-0.13434023794507,0.205366457264824,0.432348773743251,0.645445026252593,"MAP3K6"
"ENSG00000204403",3.07371512084933,-0.0922619851704706,0.363787130233642,0.432350720293977,0.645445026252593,"CASP12"
"ENSG00000230562",5.465889248706,-0.127262514603137,0.346874778456484,0.432809798739221,0.645947239266687,NA
"ENSG00000296510",3.13737032736813,-0.107367726314188,0.35869053184239,0.432799185956827,0.645947239266687,NA
"ENSG00000305731",2.18756048536718,0.0834973451729831,0.366232067921061,0.4328305435406,0.645947239266687,NA
"ENSG00000267397",7.14522502291204,-0.130000129945924,0.346007332198645,0.432760539823739,0.645947239266687,NA
"ENSG00000134046",275.860865160287,-0.0847187646469921,0.113232564995583,0.432875739344733,0.645961179494302,"MBD2"
"ENSG00000255399",3.92340980610367,0.0974971265170381,0.361982944461752,0.432949782476213,0.64601816142881,"TBX5-AS1"
