Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR32684372 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00014082520755120858)	(4, 0.00026153252830938737)	(5, 0.00036212196227453634)	(6, 0.0008751280754967962)	(7, 0.0019916707925099497)	(8, 0.002846680981213716)	(9, 0.003751985886900057)	(10, 0.004124166792571108)	(12, 0.005064678000145251)	(14, 0.006322045924709614)	(16, 0.007554266490782688)	(18, 0.009153638490828557)	(20, 0.010355682226712088)	(22, 0.013287864226796179)	(24, 0.020454861396813045)	(26, 0.025268065812045423)	(28, 0.03303859958585319)	(30, 0.07260042396434627)	(32, 0.1104924637390179)	(34, 0.12824649883386668)	(36, 0.13843117902283802)	(38, 0.14409436415507593)	(40, 0.15192525158926276)	(42, 0.16457940238207852)	(44, 0.17879268940135407)	(46, 0.2161113694024243)	(48, 0.24309448506357553)	(50, 0.2500603033656621)	(52, 0.26165323563014553)	(54, 0.27158141276250575)	(56, 0.2816051498571328)	(58, 0.29052743264984154)	(60, 0.2968997732915337)	(62, 0.303976239970982)	(64, 0.3091867726503767)	(66, 0.31682151068833153)	(68, 0.32504972638668067)	(70, 0.329334836273596)	(72, 0.33278505385860063)	(74, 0.3380056454813919)	(76, 0.342325961670195)	(78, 0.3460125644250177)	(80, 0.350061289142115)	(82, 0.35501531876489856)	(84, 0.3650491148029221)	(86, 0.3817771376713264)	(88, 0.40147757831340086)
SRR32684373 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 2.7632137225614605e-05)	(3, 2.7632137225614605e-05)	(4, 6.908034306403651e-05)	(5, 0.00016579282335368764)	(6, 0.0006631712934147506)	(7, 0.0014921354101831885)	(8, 0.002417812007241278)	(9, 0.003661258182393935)	(10, 0.008061676035573062)	(12, 0.016296052928806214)	(14, 0.04252585919022088)	(16, 0.04841841245358319)	(18, 0.050255949579086565)	(20, 0.05143031541117518)	(22, 0.05328166860529136)	(24, 0.05614850284244888)	(26, 0.05860085502122217)	(28, 0.060970310788318625)	(30, 0.06298745680578849)	(32, 0.0649009823086623)	(34, 0.06727734611006515)	(36, 0.06974351435745127)	(38, 0.07332878416247476)	(40, 0.07737689226602729)	(42, 0.08196382704547933)	(44, 0.0870550483292988)	(46, 0.09261601594595376)	(48, 0.09956549845819582)	(50, 0.10853212698790776)	(52, 0.11876292579569157)	(54, 0.1292493218728123)	(56, 0.1410896926739882)	(58, 0.1532409250189522)	(60, 0.16880472631127963)	(62, 0.19269270894282345)	(64, 0.21944061777721838)	(66, 0.24068973130371601)	(68, 0.2607506629295122)	(70, 0.2845971973552176)	(72, 0.3129823103202302)	(74, 0.3465553570493519)	(76, 0.3849571197586499)	(78, 0.4273102780912107)	(80, 0.47290330451347473)	(82, 0.5257704910603819)	(84, 0.5847098397626178)	(86, 0.646681815525365)	(88, 0.7099455937034096)
SRR32684373 - polya	(1, 0.0007736998423172089)	(2, 0.0012572622437654645)	(3, 0.0017270085766009128)	(4, 0.002528340556143736)	(5, 0.003150063643720065)	(6, 0.0047389115341929045)	(7, 0.007916607315138584)	(8, 0.014520688112060474)	(9, 0.028917031606605685)	(10, 0.03749681021515902)	(12, 0.04820426339008468)	(14, 0.05764063825263206)	(16, 0.06488716624004949)	(18, 0.07162940772309946)	(20, 0.07826112065724697)	(22, 0.08382899630820831)	(24, 0.09046761727666222)	(26, 0.09805263894509342)	(28, 0.10563766061352463)	(30, 0.11336084296808391)	(32, 0.12232747149779585)	(34, 0.13191582311508412)	(36, 0.1383541110886523)	(38, 0.14524142129213674)	(40, 0.152142547564234)	(42, 0.1605012690749824)	(44, 0.17293573082650898)	(46, 0.18664127089041382)	(48, 0.19270652501143626)	(50, 0.1975352409916124)	(52, 0.20261264620681907)	(54, 0.20762787911326813)	(56, 0.2130921342496334)	(58, 0.2184942170772411)	(60, 0.22319858843990198)	(62, 0.22785460356241805)	(64, 0.2324829865477085)	(66, 0.23693866867533883)	(68, 0.24129763832267953)	(70, 0.24682406576780247)	(72, 0.25152843713046336)	(74, 0.2576696796288562)	(76, 0.26396980691629635)	(78, 0.27033210651249406)	(80, 0.2762453838787756)	(82, 0.28239353441147486)	(84, 0.28788542168506576)	(86, 0.2936881705024448)	(88, 0.30233702945406216)
SRR32684373 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00020724102919210952)	(4, 0.0004006659897714118)	(5, 0.0005664588131250994)	(6, 0.0011605497634758135)	(7, 0.0021276745663723244)	(8, 0.002984270820366377)	(9, 0.0036336260451683205)	(10, 0.0039859357947949065)	(12, 0.005056681112287473)	(14, 0.006403747802036184)	(16, 0.0077231823545592816)	(18, 0.009871581023850818)	(20, 0.010914694204117769)	(22, 0.013822976647113707)	(24, 0.02069647078198534)	(26, 0.025138336841002886)	(28, 0.03284770312694936)	(30, 0.07403340366172792)	(32, 0.11273221184620119)	(34, 0.13168094994866641)	(36, 0.14178049610462853)	(38, 0.14669901653078793)	(40, 0.1545672676057817)	(42, 0.16712607397482354)	(44, 0.1820128879051234)	(46, 0.22153375217205867)	(48, 0.24891029212833635)	(50, 0.25532094796467897)	(52, 0.2659869529337662)	(54, 0.27480160470873727)	(56, 0.2841896233311398)	(58, 0.2924654484302114)	(60, 0.2974599572337412)	(62, 0.30246828210588383)	(64, 0.3062331608028739)	(66, 0.31003257967139586)	(68, 0.31697515414933153)	(70, 0.320422263268227)	(72, 0.32345489032873814)	(74, 0.3277171474957892)	(76, 0.3313576815752639)	(78, 0.33480479069415936)	(80, 0.33801011861233066)	(82, 0.3433914773370191)	(84, 0.3530558173316778)	(86, 0.3765776741449822)	(88, 0.3982827179357025)
SRR32684374 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 3.787058258589427e-05)	(4, 5.0494110114525694e-05)	(5, 6.311763764315712e-05)	(6, 0.000568058738788414)	(7, 0.001489576248378508)	(8, 0.002423717285497233)	(9, 0.003963787643990266)	(10, 0.009082628056850308)	(12, 0.020109279353109855)	(14, 0.05593485047936583)	(16, 0.06278311416364837)	(18, 0.06514371381150245)	(20, 0.06679108415398885)	(22, 0.06915799556560726)	(24, 0.07175213047274101)	(26, 0.07424527715964571)	(28, 0.07623979450916948)	(30, 0.07791872367047746)	(32, 0.07983749985482944)	(34, 0.08229908772291256)	(36, 0.08506995201544716)	(38, 0.08845305739312037)	(40, 0.09261250971380443)	(42, 0.0972200972617549)	(44, 0.10204228477769212)	(46, 0.10766606629169741)	(48, 0.11414824767764964)	(50, 0.12254920524795385)	(52, 0.13275532725485234)	(54, 0.1426584846010637)	(56, 0.15373563000743778)	(58, 0.16537452238883596)	(60, 0.1798915790467621)	(62, 0.20189438752916666)	(64, 0.22676273676057057)	(66, 0.24591262802150443)	(68, 0.26760616007945753)	(70, 0.2929289563018922)	(72, 0.3215212461542424)	(74, 0.35467062944442845)	(76, 0.392086765039292)	(78, 0.4302098181757589)	(80, 0.47494128797346435)	(82, 0.52783386831843)	(84, 0.5831880365314788)	(86, 0.6394700340178819)	(88, 0.6986049487257558)
SRR32684374 - polya	(1, 0.0012749762803917737)	(2, 0.001729423271422505)	(3, 0.0022343643725677618)	(4, 0.0027897995838275444)	(5, 0.0035093406529595355)	(6, 0.005213516869324778)	(7, 0.008306281113839476)	(8, 0.01499675070401413)	(9, 0.03006924257320005)	(10, 0.039404341180622984)	(12, 0.05184482756008925)	(14, 0.06345847288643017)	(16, 0.07210558924354268)	(18, 0.0796228998868427)	(20, 0.08679937528686966)	(22, 0.09319950374388579)	(24, 0.1010324025754016)	(26, 0.11041168352917474)	(28, 0.11890731755594369)	(30, 0.12805937501420148)	(32, 0.13825918525733566)	(34, 0.15054187754269405)	(36, 0.15874085867254015)	(38, 0.16782348672939046)	(40, 0.1758015561274855)	(42, 0.18614653693719896)	(44, 0.2015535522858936)	(46, 0.21696056763458826)	(48, 0.22418753714472975)	(50, 0.22991861864272842)	(52, 0.23547297075532625)	(54, 0.24201826977892166)	(56, 0.2483868394171162)	(58, 0.25438301499321614)	(60, 0.2602529552940297)	(62, 0.2657505015327487)	(64, 0.27048432435598546)	(66, 0.2753065118719227)	(68, 0.28030542877326076)	(70, 0.285828222067037)	(72, 0.2913005212506987)	(74, 0.2976249085425431)	(76, 0.303860931141687)	(78, 0.3099770302293089)	(80, 0.3165475763079616)	(82, 0.323414775283537)	(84, 0.3297454743391457)	(86, 0.33612035574110455)	(88, 0.3459856425047301)
SRR32684374 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00012623527528631424)	(4, 0.00023984702304399703)	(5, 0.0003913293533875741)	(6, 0.0007195410691319911)	(7, 0.0018304114916515564)	(8, 0.00266356430854123)	(9, 0.0033578583226159583)	(10, 0.0035850818181313244)	(12, 0.004500287563957102)	(14, 0.005844693245756349)	(16, 0.007062863652269281)	(18, 0.00878597515992747)	(20, 0.009959963220090193)	(22, 0.012655086347453002)	(24, 0.018992097166825976)	(26, 0.023587061187247814)	(28, 0.031615624695457395)	(30, 0.06811024278073084)	(32, 0.10248410824119421)	(34, 0.11970259979024747)	(36, 0.12925861012942144)	(38, 0.13439007406981013)	(40, 0.14178746120158814)	(42, 0.153420041819222)	(44, 0.1684104807594718)	(46, 0.20547315758353368)	(48, 0.2302405185947085)	(50, 0.2366658941067819)	(52, 0.24757893365528377)	(54, 0.25665524994836975)	(56, 0.2661923249962508)	(58, 0.2737222591670795)	(60, 0.27874011135971044)	(62, 0.2831204754121456)	(64, 0.2864215278608827)	(66, 0.2899434920413708)	(68, 0.2957566264683056)	(70, 0.29883045542152736)	(72, 0.30159500795029764)	(74, 0.3053189485712439)	(76, 0.3086894304213885)	(78, 0.3118011299571961)	(80, 0.31534202942897727)	(82, 0.3205176757157161)	(84, 0.3322449327898147)	(86, 0.3583756347740818)	(88, 0.3877379598056785)
SRR32684375 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 3.778743960622465e-05)	(5, 0.00012595813202074884)	(6, 0.0003652785828601716)	(7, 0.0015114975842489859)	(8, 0.0027710789044564743)	(9, 0.004408534620726209)	(10, 0.009270518516727114)	(12, 0.019674660221640966)	(14, 0.061259737508291195)	(16, 0.06936514330382638)	(18, 0.0720606473290704)	(20, 0.07360363444632458)	(22, 0.07522849434939224)	(24, 0.0776783800171958)	(26, 0.08015345731140353)	(28, 0.08230734136895831)	(30, 0.08394479708522806)	(32, 0.0860042125437673)	(34, 0.08844780030496982)	(36, 0.09129445408863876)	(38, 0.09490315457103321)	(40, 0.09894641060889925)	(42, 0.1038524798511074)	(44, 0.10953319160524319)	(46, 0.11570514007425987)	(48, 0.12245649595057201)	(50, 0.13116020287320576)	(52, 0.1412746408744719)	(54, 0.15312730109762435)	(56, 0.16581128499211376)	(58, 0.1784826730734011)	(60, 0.19546182926979805)	(62, 0.22032596453069386)	(64, 0.2476840708056005)	(66, 0.27036913038253735)	(68, 0.2948553912473709)	(70, 0.32211902892326205)	(72, 0.3522797036356303)	(74, 0.3873212559638026)	(76, 0.427413729386007)	(78, 0.4697104701185745)	(80, 0.5179965200287285)	(82, 0.5729394572161792)	(84, 0.6331474443220971)	(86, 0.6974616665318915)	(88, 0.7627394684516445)
SRR32684375 - polya	(1, 0.0010202608693680654)	(2, 0.0015366892106531357)	(3, 0.0020279259255340564)	(4, 0.0030103993552958973)	(5, 0.003917297905845289)	(6, 0.005302837358073526)	(7, 0.008817069241452417)	(8, 0.015769958128997754)	(9, 0.030519655388627442)	(10, 0.039714599026142106)	(12, 0.051964027365159926)	(14, 0.0628405120651516)	(16, 0.0714560482953708)	(18, 0.079057621562823)	(20, 0.08644506600583993)	(22, 0.09274297260687736)	(24, 0.09945024313698224)	(26, 0.10715258291005103)	(28, 0.11429440899562748)	(30, 0.12242500641756682)	(32, 0.1318214830663147)	(34, 0.14279873427192297)	(36, 0.15022396615454608)	(38, 0.15798928499362525)	(40, 0.16552158128846606)	(42, 0.1748487809646025)	(44, 0.18772799996372408)	(46, 0.20121181799654522)	(48, 0.20744674553157227)	(50, 0.21277477451604995)	(52, 0.21762416259884879)	(54, 0.22294589367672543)	(56, 0.22866439287046741)	(58, 0.23375939931070672)	(60, 0.23898036388296676)	(62, 0.24377307080635624)	(64, 0.24847130913073018)	(66, 0.2532388244277155)	(68, 0.25819527692273203)	(70, 0.2643861191115518)	(72, 0.2692669967273558)	(74, 0.2751177519597196)	(76, 0.2807921658072543)	(78, 0.2867373896386337)	(80, 0.29312346693208563)	(82, 0.29957882119814905)	(84, 0.3058326424529792)	(86, 0.3117400788447523)	(88, 0.31992105951949995)
SRR32684375 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0001511497584248986)	(4, 0.0003022995168497972)	(5, 0.0006171948469016693)	(6, 0.00108323993537844)	(7, 0.0020027342991299065)	(8, 0.002594737519627426)	(9, 0.003451252817368518)	(10, 0.0036212962955965286)	(12, 0.0044337262471303585)	(14, 0.0053910080504880505)	(16, 0.006625397744291389)	(18, 0.008703706922633746)	(20, 0.009667286632592472)	(22, 0.011947128822168026)	(24, 0.01755226569709135)	(26, 0.02133730756431485)	(28, 0.027068402571258924)	(30, 0.05635996617268406)	(32, 0.08388811592581873)	(34, 0.09767423347548967)	(36, 0.1050616779185066)	(38, 0.10921199836859027)	(40, 0.1151194347603634)	(42, 0.12400578097442722)	(44, 0.13480669079520644)	(46, 0.16317876003288012)	(48, 0.18383589368428294)	(50, 0.18859711107466723)	(52, 0.19591527854507274)	(54, 0.2022005893329081)	(56, 0.2090464138082358)	(58, 0.2148152962547861)	(60, 0.21824765535235152)	(62, 0.22160443957070447)	(64, 0.22402283570550285)	(66, 0.22685059576936864)	(68, 0.2316873880389654)	(70, 0.2343765941576084)	(72, 0.23631005148412687)	(74, 0.23967313360908088)	(76, 0.24187110301284293)	(78, 0.24374158127335105)	(80, 0.24668900156263657)	(82, 0.25125498384838874)	(84, 0.25983903054560276)	(86, 0.2827256231337728)	(88, 0.3170492141094269)
SRR32684376 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 1.303388588754702e-05)	(3, 1.303388588754702e-05)	(4, 6.516942943773511e-05)	(5, 0.00010427108710037617)	(6, 0.0008472025826905564)	(7, 0.0020202523125697884)	(8, 0.003519149189637696)	(9, 0.005161418811468621)	(10, 0.010563964511856861)	(12, 0.022822334189094833)	(14, 0.07049377182279806)	(16, 0.08148785456894397)	(18, 0.08470722438316808)	(20, 0.08650590063564959)	(22, 0.08876727983713899)	(24, 0.09143922644408613)	(26, 0.0938830800480012)	(28, 0.09638558613841022)	(30, 0.09867955005461851)	(32, 0.10093441231316413)	(34, 0.10328702871586637)	(36, 0.106578084902472)	(38, 0.11063162341349911)	(40, 0.11507617850115265)	(42, 0.12003557208136428)	(44, 0.12543811778175254)	(46, 0.1315901119206747)	(48, 0.13899335910480143)	(50, 0.14830607057145379)	(52, 0.15945004300530646)	(54, 0.1715976246525003)	(56, 0.18450117168117186)	(58, 0.1970397699049921)	(60, 0.21318875451966285)	(62, 0.23895674691934332)	(64, 0.2677877025025973)	(66, 0.2897693510519454)	(68, 0.31298921876061037)	(70, 0.34171590325676404)	(72, 0.37520647304481614)	(74, 0.4133892417523851)	(76, 0.456179489121202)	(78, 0.5015960644963595)	(80, 0.5521219231394356)	(82, 0.6104550794291523)	(84, 0.673421782151892)	(86, 0.7373334416014787)	(88, 0.8018837614595554)
SRR32684376 - polya	(1, 0.0010166430992286676)	(2, 0.0013555241323048902)	(3, 0.0017856423665939419)	(4, 0.002567675519846763)	(5, 0.0031411664988988323)	(6, 0.004183877369902594)	(7, 0.007494484385339537)	(8, 0.015158409287217185)	(9, 0.030264683030884185)	(10, 0.03883446300194635)	(12, 0.051431713712260546)	(14, 0.062464898116069104)	(16, 0.07182974512627163)	(18, 0.07922647536745457)	(20, 0.08610185017313562)	(22, 0.09252755591569631)	(24, 0.09926607491955812)	(26, 0.10789450737711424)	(28, 0.11600810134211226)	(30, 0.12496238094685708)	(32, 0.1353373541133445)	(34, 0.14605120831290816)	(36, 0.15409311590552466)	(38, 0.16228491318584798)	(40, 0.16954478762521166)	(42, 0.17953526115801643)	(44, 0.19357927320184837)	(46, 0.2083857675701018)	(48, 0.21582159946894736)	(50, 0.22117200962578543)	(52, 0.22611185237716575)	(54, 0.2318728299394615)	(56, 0.2379726885348335)	(58, 0.24404647935843043)	(60, 0.2501202701820273)	(62, 0.255281688993496)	(64, 0.26064513303622155)	(66, 0.2653308150127947)	(68, 0.26973626844278564)	(70, 0.2758491609240452)	(72, 0.2811344016514455)	(74, 0.28780123428292576)	(76, 0.29457885494445024)	(78, 0.3009850098581796)	(80, 0.30778869829147915)	(82, 0.3147878950130919)	(84, 0.3210897788397209)	(86, 0.32713750189154267)	(88, 0.336104815382175)
SRR32684376 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00013033885887547023)	(4, 0.0002476438318633934)	(5, 0.00045618600606414574)	(6, 0.0008732703544656504)	(7, 0.001955082883132053)	(8, 0.0026849804928346863)	(9, 0.0035712847331878838)	(10, 0.0038189285650512775)	(12, 0.004672648090685607)	(14, 0.005819630048789745)	(16, 0.007038298379275392)	(18, 0.008784839088206691)	(20, 0.009651592499728568)	(22, 0.012473428794382499)	(24, 0.01820833858490319)	(26, 0.021727487774540886)	(28, 0.028172744345932886)	(30, 0.054631532697653334)	(32, 0.07960445805819344)	(34, 0.09162821778945555)	(36, 0.09841887233686755)	(38, 0.1027396055085894)	(40, 0.10848103224205385)	(42, 0.11749396433329262)	(44, 0.12964806292343023)	(46, 0.15778170561170046)	(48, 0.17681769595046287)	(50, 0.18241574993916432)	(52, 0.19109631794027065)	(54, 0.19859731926855395)	(56, 0.2063589983145882)	(58, 0.2131235850902251)	(60, 0.21756814017787868)	(62, 0.22147830594414275)	(64, 0.2247172265871982)	(66, 0.2274217579088642)	(68, 0.23234856677435697)	(70, 0.23473376789177808)	(72, 0.2369690793214924)	(74, 0.24024710162221047)	(76, 0.24232600642127422)	(78, 0.24458086867981987)	(80, 0.2481326025841764)	(82, 0.25358076688517106)	(84, 0.265206993096863)	(86, 0.295621565815454)	(88, 0.3326443186790313)
SRR32684377 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 1.203273143605235e-05)	(4, 1.203273143605235e-05)	(5, 7.21963886163141e-05)	(6, 0.0006377347661107746)	(7, 0.0017327133267915384)	(8, 0.002923953738960721)	(9, 0.004476176094211474)	(10, 0.009367481422966754)	(12, 0.019559204949303095)	(14, 0.06213100877005631)	(16, 0.07256940329083172)	(18, 0.07571596256135942)	(20, 0.07767729778543594)	(22, 0.08017408955841682)	(24, 0.0833206488289445)	(26, 0.08610622615639062)	(28, 0.0883082160091882)	(30, 0.09043800947336947)	(32, 0.09234519740598376)	(34, 0.09471564549888607)	(36, 0.09757943558066653)	(38, 0.10119527137720026)	(40, 0.10493745085381254)	(42, 0.10919703778217507)	(44, 0.11438314503111363)	(46, 0.12050178896634625)	(48, 0.1275469532221549)	(50, 0.13610222527318813)	(52, 0.14667899620547814)	(54, 0.15776114185808238)	(56, 0.16982395512272483)	(58, 0.1823199467190652)	(60, 0.19852201959770968)	(62, 0.2214203075205173)	(64, 0.24738694195951827)	(66, 0.269629446019061)	(68, 0.29215471926735104)	(70, 0.3175437825974215)	(72, 0.3449182466144406)	(74, 0.37736450693175577)	(76, 0.4161279512529984)	(78, 0.45941570259419673)	(80, 0.5087920160420376)	(82, 0.5647742990482711)	(84, 0.622886375518686)	(86, 0.6820452996240374)	(88, 0.7458428416979869)
SRR32684377 - polya	(1, 0.0012273386064773396)	(2, 0.0017567787896636431)	(3, 0.0022862189728499465)	(4, 0.0029480192018328257)	(5, 0.003850474059536752)	(6, 0.0054267618776596095)	(7, 0.009060646771347419)	(8, 0.01637654748446725)	(9, 0.02996150127577035)	(10, 0.038558887886829755)	(12, 0.05143391052340576)	(14, 0.06232954883875117)	(16, 0.07128791739289214)	(18, 0.07815860704287803)	(20, 0.08397041632649133)	(22, 0.09010109299315999)	(24, 0.09704999539748023)	(26, 0.10535258008835635)	(28, 0.11282490631014486)	(30, 0.12067626357216901)	(32, 0.1295684521034117)	(34, 0.14098751423622535)	(36, 0.1486463477952727)	(38, 0.1567443760517359)	(40, 0.16326010012435827)	(42, 0.17214627228988294)	(44, 0.18497316400071473)	(46, 0.19846185594052945)	(48, 0.2047730235787389)	(50, 0.20992303263336928)	(52, 0.21456165060196747)	(54, 0.21965751236513564)	(56, 0.22524069975146394)	(58, 0.2304268070004025)	(60, 0.2347706230488174)	(62, 0.23964387928041858)	(64, 0.24448705368342966)	(66, 0.2492279498692343)	(68, 0.25395681332360287)	(70, 0.25938357520126243)	(72, 0.26420268414140147)	(74, 0.2700024606935787)	(76, 0.27604890824019496)	(78, 0.28204722486106704)	(80, 0.2883764415964306)	(82, 0.2952290821492624)	(84, 0.3022261154793269)	(86, 0.30900054327782434)	(88, 0.3175076844031134)
SRR32684377 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00018049097154078524)	(4, 0.00045724379456998926)	(5, 0.0007700948119073504)	(6, 0.001131076754988921)	(7, 0.0016605169381752243)	(8, 0.002334349898594156)	(9, 0.003212739293425977)	(10, 0.003411279362120841)	(12, 0.004223488734054375)	(14, 0.0049875671802436985)	(16, 0.00591408750081973)	(18, 0.0074001298331721945)	(20, 0.008200306473669677)	(22, 0.01047449271508357)	(24, 0.01564856723258608)	(26, 0.019089928423297053)	(28, 0.024949868632654547)	(30, 0.051415861426251694)	(32, 0.07610702633303111)	(34, 0.0885187888093191)	(36, 0.0955278548708196)	(38, 0.09960695082764134)	(40, 0.10538266191694648)	(42, 0.11397403216228785)	(44, 0.12409355930000787)	(46, 0.14840569316655167)	(48, 0.16599153016034218)	(50, 0.1701849370658064)	(52, 0.17818670347078122)	(54, 0.18529804774948816)	(56, 0.19178368999352036)	(58, 0.197216468236898)	(60, 0.20103686046784464)	(62, 0.20468879445868654)	(64, 0.2074442899575425)	(66, 0.21044645645083757)	(68, 0.21498279620222932)	(70, 0.21761194802100675)	(72, 0.21974174148518802)	(74, 0.22321318450448913)	(76, 0.22565582898600772)	(78, 0.22800822798175596)	(80, 0.23104047630364116)	(82, 0.23572120883226552)	(84, 0.24609943969586068)	(86, 0.27147045392877706)	(88, 0.30518616741259574)
SRR32684378 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 1.573725581287018e-05)	(3, 1.573725581287018e-05)	(4, 1.573725581287018e-05)	(5, 1.573725581287018e-05)	(6, 0.0005350666976375861)	(7, 0.0010071843720236915)	(8, 0.0017468353952285898)	(9, 0.0029900786044453342)	(10, 0.007215531790200977)	(12, 0.014958261650133108)	(14, 0.04297844562494846)	(16, 0.04873041262455251)	(18, 0.05083920490347712)	(20, 0.052294901066167604)	(22, 0.05423845215905708)	(24, 0.0563079012984495)	(26, 0.05852685436806419)	(28, 0.0604782740888601)	(30, 0.062429693809656)	(32, 0.06421587234441677)	(34, 0.0663325332512478)	(36, 0.06865377848364615)	(38, 0.07189565318109742)	(40, 0.07592439066919218)	(42, 0.08095244390140421)	(44, 0.08641327166847015)	(46, 0.09263735634246031)	(48, 0.10012829010938651)	(50, 0.10886246708552946)	(52, 0.11919397552667874)	(54, 0.13029660950265864)	(56, 0.1419028356646504)	(58, 0.1542093697103149)	(60, 0.1690181274302257)	(62, 0.1913650306845014)	(64, 0.2162377634967427)	(66, 0.23665685291394176)	(68, 0.25801230905200656)	(70, 0.2832155242363182)	(72, 0.31282517104823343)	(74, 0.3479822005341854)	(76, 0.38723878515939003)	(78, 0.4306027935517539)	(80, 0.4775312903857327)	(82, 0.5323284151261467)	(84, 0.5914690224709128)	(86, 0.6510738788621586)	(88, 0.7143533844857096)
SRR32684378 - polya	(1, 0.001054396139462302)	(2, 0.0013848785115325758)	(3, 0.0017783099068543304)	(4, 0.0022346903254275657)	(5, 0.0029428668370067236)	(6, 0.00442216888341652)	(7, 0.007601094557616297)	(8, 0.01399042041764159)	(9, 0.026595962323750603)	(10, 0.033835099997670884)	(12, 0.045354771252691856)	(14, 0.05520629339154859)	(16, 0.06276804480963272)	(18, 0.06908655301850009)	(20, 0.07486999452972988)	(22, 0.08057474976189533)	(24, 0.08671227952891469)	(26, 0.09332192697032016)	(28, 0.10013615873729295)	(30, 0.10919294945759975)	(32, 0.11891857354995351)	(34, 0.1298166232003661)	(36, 0.13697707459522204)	(38, 0.14500307505978582)	(40, 0.15162059112909776)	(42, 0.1636281173143177)	(44, 0.18376393612688507)	(46, 0.206079364869535)	(48, 0.21373553982249632)	(50, 0.22005404803136372)	(52, 0.22543618951936534)	(54, 0.23109373298409217)	(56, 0.23609818033258487)	(58, 0.24257406109958096)	(60, 0.2480348888666469)	(62, 0.25329113230814554)	(64, 0.2580280463078195)	(66, 0.26251316421448745)	(68, 0.26676222328396243)	(70, 0.2732066295393327)	(72, 0.277479294492527)	(74, 0.28411254781765183)	(76, 0.29032089523582905)	(78, 0.2958210661424272)	(80, 0.30210809983966885)	(82, 0.30771843153695705)	(84, 0.3135884279551576)	(86, 0.3196079283035805)	(88, 0.33282722318639146)
SRR32684378 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0001573725581287018)	(4, 0.0002832706046316632)	(5, 0.0004091686511346247)	(6, 0.0009599726045850809)	(7, 0.002014368744047383)	(8, 0.0028169687905037623)	(9, 0.0038398904183403236)	(10, 0.004264796325287819)	(12, 0.005153951278714984)	(14, 0.006035237604235714)	(16, 0.0072312690460138475)	(18, 0.009056790720306789)	(20, 0.010307902557429967)	(22, 0.013132739975840165)	(24, 0.02025384823116392)	(26, 0.025376324998253166)	(28, 0.03434656081158917)	(30, 0.07793875941323956)	(32, 0.11840711273603524)	(34, 0.13790557268818138)	(36, 0.14850461447814944)	(38, 0.15421723833822132)	(40, 0.16278617412832913)	(42, 0.17705199652269593)	(44, 0.19408757594012793)	(46, 0.23951316484397772)	(48, 0.27161716670223285)	(50, 0.2789113847714982)	(52, 0.2901871285614197)	(54, 0.2994485036072938)	(56, 0.3096541140019401)	(58, 0.3183568164664573)	(60, 0.3235815853963302)	(62, 0.3288693033494546)	(64, 0.3327642741631399)	(66, 0.3366671136047318)	(68, 0.34424460227862874)	(70, 0.34813170446440767)	(72, 0.3509801477665372)	(74, 0.3555360833243631)	(76, 0.35938384237060983)	(78, 0.36235031509133586)	(80, 0.36498630543999167)	(82, 0.3693455253001567)	(84, 0.37915770429948126)	(86, 0.4013865781351604)	(88, 0.42732944434267683)
