Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR1039518_pass_2P	(36, 184.0)	(37, 195.0)	(38, 150.0)	(39, 183.0)	(40, 185.0)	(41, 206.0)	(42, 192.0)	(43, 178.0)	(44, 149.0)	(45, 225.0)	(46, 198.0)	(47, 201.0)	(48, 224.0)	(49, 231.0)	(50, 254.0)	(51, 373.0)	(52, 487.0)	(53, 891.0)	(54, 808.0)	(55, 673.0)	(56, 1740.0)	(57, 3839.0)	(58, 13505.0)	(59, 80327.0)	(60, 491146.0)	(61, 0.0)	(62, 0.0)	(63, 29828969.0)
SRR1039519_pass_1P	(36, 145.0)	(37, 4.0)	(38, 205.0)	(39, 341.0)	(40, 184.0)	(41, 179.0)	(42, 181.0)	(43, 192.0)	(44, 177.0)	(45, 205.0)	(46, 216.0)	(47, 238.0)	(48, 208.0)	(49, 236.0)	(50, 234.0)	(51, 547.0)	(52, 758.0)	(53, 1476.0)	(54, 1091.0)	(55, 644.0)	(56, 1330.0)	(57, 5111.0)	(58, 32850.0)	(59, 171431.0)	(60, 560955.0)	(61, 0.0)	(62, 0.0)	(63, 21317347.0)
SRR1039519_pass_2P	(36, 143.0)	(37, 209.0)	(38, 144.0)	(39, 179.0)	(40, 171.0)	(41, 162.0)	(42, 176.0)	(43, 167.0)	(44, 143.0)	(45, 231.0)	(46, 221.0)	(47, 210.0)	(48, 200.0)	(49, 224.0)	(50, 225.0)	(51, 267.0)	(52, 408.0)	(53, 681.0)	(54, 586.0)	(55, 577.0)	(56, 1288.0)	(57, 2804.0)	(58, 9910.0)	(59, 56143.0)	(60, 354101.0)	(61, 0.0)	(62, 0.0)	(63, 21666915.0)
SRR1039520_pass_1P	(36, 39.0)	(37, 138.0)	(38, 137.0)	(39, 100.0)	(40, 144.0)	(41, 262.0)	(42, 166.0)	(43, 139.0)	(44, 137.0)	(45, 154.0)	(46, 158.0)	(47, 149.0)	(48, 148.0)	(49, 176.0)	(50, 164.0)	(51, 445.0)	(52, 663.0)	(53, 1517.0)	(54, 981.0)	(55, 541.0)	(56, 1120.0)	(57, 4685.0)	(58, 31887.0)	(59, 164263.0)	(60, 542532.0)	(61, 0.0)	(62, 0.0)	(63, 20516189.0)
SRR1039520_pass_2P	(36, 105.0)	(37, 121.0)	(38, 83.0)	(39, 123.0)	(40, 112.0)	(41, 113.0)	(42, 147.0)	(43, 130.0)	(44, 103.0)	(45, 162.0)	(46, 140.0)	(47, 122.0)	(48, 139.0)	(49, 157.0)	(50, 153.0)	(51, 210.0)	(52, 309.0)	(53, 574.0)	(54, 487.0)	(55, 510.0)	(56, 1190.0)	(57, 2480.0)	(58, 9387.0)	(59, 53956.0)	(60, 341211.0)	(61, 0.0)	(62, 0.0)	(63, 20854810.0)
SRR1039521_pass_1P	(36, 94.0)	(37, 166.0)	(38, 214.0)	(39, 215.0)	(40, 182.0)	(41, 359.0)	(42, 199.0)	(43, 222.0)	(44, 191.0)	(45, 201.0)	(46, 197.0)	(47, 193.0)	(48, 214.0)	(49, 210.0)	(50, 246.0)	(51, 587.0)	(52, 788.0)	(53, 1576.0)	(54, 1138.0)	(55, 589.0)	(56, 1318.0)	(57, 5374.0)	(58, 35296.0)	(59, 183442.0)	(60, 602134.0)	(61, 0.0)	(62, 0.0)	(63, 22639214.0)
SRR1039521_pass_2P	(36, 146.0)	(37, 162.0)	(38, 144.0)	(39, 146.0)	(40, 147.0)	(41, 157.0)	(42, 167.0)	(43, 159.0)	(44, 147.0)	(45, 206.0)	(46, 163.0)	(47, 174.0)	(48, 186.0)	(49, 198.0)	(50, 218.0)	(51, 305.0)	(52, 418.0)	(53, 747.0)	(54, 606.0)	(55, 653.0)	(56, 1357.0)	(57, 2931.0)	(58, 10569.0)	(59, 59882.0)	(60, 376867.0)	(61, 0.0)	(62, 0.0)	(63, 23017704.0)
SRR1039522_pass_1P	(36, 113.0)	(37, 260.0)	(38, 298.0)	(39, 251.0)	(40, 530.0)	(41, 237.0)	(42, 278.0)	(43, 262.0)	(44, 269.0)	(45, 263.0)	(46, 279.0)	(47, 274.0)	(48, 253.0)	(49, 284.0)	(50, 272.0)	(51, 657.0)	(52, 944.0)	(53, 2000.0)	(54, 1451.0)	(55, 801.0)	(56, 1608.0)	(57, 6157.0)	(58, 41740.0)	(59, 218445.0)	(60, 718527.0)	(61, 0.0)	(62, 0.0)	(63, 27120860.0)
SRR1039522_pass_2P	(36, 216.0)	(37, 286.0)	(38, 229.0)	(39, 248.0)	(40, 243.0)	(41, 214.0)	(42, 239.0)	(43, 242.0)	(44, 198.0)	(45, 312.0)	(46, 252.0)	(47, 246.0)	(48, 245.0)	(49, 269.0)	(50, 274.0)	(51, 347.0)	(52, 453.0)	(53, 840.0)	(54, 745.0)	(55, 693.0)	(56, 1806.0)	(57, 3311.0)	(58, 12306.0)	(59, 71139.0)	(60, 452591.0)	(61, 0.0)	(62, 0.0)	(63, 27569369.0)
SRR1039523_pass_1P	(36, 245.0)	(37, 200.0)	(38, 182.0)	(39, 8.0)	(40, 367.0)	(41, 205.0)	(42, 244.0)	(43, 218.0)	(44, 210.0)	(45, 204.0)	(46, 216.0)	(47, 216.0)	(48, 209.0)	(49, 252.0)	(50, 279.0)	(51, 753.0)	(52, 971.0)	(53, 2224.0)	(54, 1425.0)	(55, 675.0)	(56, 1564.0)	(57, 6840.0)	(58, 47611.0)	(59, 245282.0)	(60, 795643.0)	(61, 0.0)	(62, 0.0)	(63, 29983947.0)
SRR1039523_pass_2P	(36, 199.0)	(37, 191.0)	(38, 199.0)	(39, 167.0)	(40, 161.0)	(41, 171.0)	(42, 195.0)	(43, 181.0)	(44, 151.0)	(45, 238.0)	(46, 204.0)	(47, 193.0)	(48, 188.0)	(49, 247.0)	(50, 262.0)	(51, 334.0)	(52, 461.0)	(53, 911.0)	(54, 733.0)	(55, 828.0)	(56, 1717.0)	(57, 3631.0)	(58, 13530.0)	(59, 77280.0)	(60, 498633.0)	(61, 0.0)	(62, 0.0)	(63, 30489185.0)
